AÑO,MES,AT,EP,TOTAL
2020,ENE-2020,3840,47,3887
2020,24-Feb,3792,64,3856
2020,24-Mar,2979,41,3020
2020,ABR-2020,885,1,886
2020,24-May,1456,99,1555
2020,24-Jun,2240,463,2703
2020,24-Jul,2532,891,3423
2020,AGO-2020,2454,1794,4248
2020,24-Sep,2881,1630,4511
2020,24-Oct,3048,1480,4528
2020,24-Nov,3040,911,3951
2020,DIC-2020,2743,834,3577
,Total General:,31890,8255,40145
