AÑO,MES,AT,EP,TOTAL
2021,ENE-2021,2435,1369,3804
2021,21-Feb,2937,1709,4646
2021,21-Mar,3362,1032,4394
2021,ABR-2021,3068,413,3481
2021,21-May,3176,425,3601
2021,21-Jun,3038,720,3758
2021,21-Jul,3372,776,4148
2021,AGO-2021,3353,365,3718
2021,21-Sep,3454,336,3790
2021,21-Oct,3264,488,3752
2021,21-Nov,3866,715,4581
2021,DIC-2021,3254,499,3753
,Total General:,38579,8847,47426
