AÑO,MES,AT,EP,TOTAL
2023,ENE-2023,3400,72,3472
2023,23-Feb,3589,34,3623
2023,23-Mar,4557,42,4599
2023,ABR-2023,3389,27,3416
2023,23-May,4247,57,4304
2023,23-Jun,3860,70,3930
2023,23-Jul,3732,73,3805
2023,AGO-2023,3815,55,3870
2023,23-Sep,4015,49,4064
2023,23-Oct,4227,52,4279
2023,23-Nov,3905,47,3952
2023,DIC-2023,3452,28,3480
,Total General:,46188,606,46794
